landlord,country_code,city,state,zip,review,repair,health,stability,privacy,respect,date_added,flagged,flagged_reason,admin_approved,admin_edited
GALAXY PROPERTIES,CA,HALIFAX,NOVA SCOTIA,B3J0E2,,5,4,5,5,5,2023-04-12T13:24:59.007Z,false,,,false
Q RENTALS,CA,KINGSTON,ONTARIO,K7L3C5,Great experience with Q rentals. Always quick to respond to any issues. ,5,5,5,5,5,2023-04-12T13:51:28.314Z,false,,,false
BARRY FINCH (PARK PLACE PROPERTIES) ,CA,VICTORIA ,BRITISH COLUMBIA,V9T2S7,"Decent, but tries to pretend he doesn’t know the rules so he can come in without notice, etc. Fixes stuff quickly but cheaply so
It breaks again. But keeps rent stable and follows those rules. Overall, in this market, not awful. ",3,4,5,2,3,2023-04-12T14:15:15.763Z,false,,,false
MAY SUTTON,CA,NANAIMO,BRITISH COLUMBIA,V9Y2C4,May Sutton worked with a home owner that bought our house sight unseen and than to the residential tenancy board about our eviction. She lied about paperwork everyone had copies of that she signed.,1,1,1,1,1,2023-04-12T14:28:54.563Z,false,,,false
MIN CAI,CA,NANAIMO,BRITISH COLUMBIA,V9Y2C4,"Phoned us daily yelling and screaming. Wanted to increase our rent from $1,000 to $1,500. Take on 100% of utilities for a multi dwelling unit. Went through multiple property managers due to her yelling and temper tantrums and only stuck on one that was a crook like her. We were evicted and she stole from us. After so long and having her and her newest property manager lie over and over again, we were finally able to get some compensation back from these horrible people.",1,1,1,1,1,2023-04-12T14:31:31.164Z,false,,,false
CARRIE YEUNG,CA,VANCOUVER,BRITISH COLUMBIA,V5L1V1,One of the best landlords we’ve had. Lived in her rental unit for 11 years and she kept our rent low and place well maintained. ,5,5,5,5,5,2023-04-12T14:50:45.082Z,false,,,false
TONY CIMELLARO,CA,KINGSTON,ONTARIO,K7L1C3,,4,3,2,4,2,2023-04-12T14:07:18.896Z,false,Lack of information for the rating received. Possible bad tenant who is just outing there landlord over personal reasons.,,false
SCIENCE 44 CO-OPERATIVE INC.,CA,KINGSTON,ONTARIO,K7L3N1,,4,5,3,3,5,2023-04-12T13:56:10.245Z,false,Lack of information for the rating received.,,false
EMPIRE HOLDINGS,CA,OTTAWA,ONTARIO,K2B5K8,"List of issues since I started renting from Empire Holdings. 
1. Tried to tow my car despite being in my designated parking spot.
2. Fridge died and lost all my food. Was not provided compensation.
3. Radiator valve was rusted permanently. In the winter my apartment was so hot I had to leave all the windows open, even in -20 winter, just to regulate the temperature. It took 18 months of harassment to get them to fix it. 
4. Parking lot is never plowed or cleared properly. However 2023 I did see an improvement.
5. Attempts at rental hikes without an LTB hearing. 
6. Unreliable washing and drying units.
7. Roaches and ants despite maintaining an incredibly clean living space. 
8. Pipe burst some floors above me and rained down into my bathroom causing water damage. Building refused to acknowledge the problem. ",1,3,2,5,3,2023-04-12T14:57:05.221Z,false,,,false
NOBLE & ASSOCIATES PROPERTY MANAGEMENT,CA,RICHMOND,BRITISH COLUMBIA,V6VC3C,Were slow to fix a leaking gas stove & left me without a working fridge for over a week which caused all my food to spoil. Told me it was going to take two weeks to replace the fridge so I moved out immediately. Horrible property management company that passes you around to various people in their office when repairs were needed. Also refused to fix  other appliances within the unit which resulted in me having to do the repairs myself and on my own dime. Avoid at all costs if possible. ,1,1,3,2,2,2023-04-12T15:04:08.035Z,false,,,false
SUE EMERSON,CA,NEWCASTLE,ONTARIO,L1B1L9,"Moldy building, roof leafs, drafty. Ironic as drafty homes are supposed to keep mold at bay. Sue is mentally ill due to this the mold being everywhere. Paranoia, lack of privacy, nitpicking and manipulation are all common with her. 
",1,1,2,1,1,2023-04-12T15:06:13.459Z,false,,,false
SIMON BRODEUR,CA,QUEBEC,QUEBEC,G1G6L5,,4,5,5,5,5,2023-04-12T15:37:36.208Z,false,,,false
PG REALESTATE,CA,MONTREAL,QUEBEC,H2T2X2,"Great landlord, have been renting here over 5 years now, gets issued fixed within a week of being notified, increases are fair, has been forgiving and understanding for the occasional late rent. Has only evicted other tenants for missing rent. ",5,5,5,5,5,2023-04-12T15:38:49.863Z,false,,,false
SHORELINE PROPERTY MANAGEMENT,CA,KINGSTON,ONTARIO,K7L1G2,"Terrible management company; terrible people; place is infested with bugs and pests, laundry machines have been broken for months, the maintenance people never give notice when they will arrive, and when they do arrive, they don't actually fix anything. Meth heads are constantly breaking into the building (or just living in the building, but Shoreline doesn't actually do any vetting of their tenants, so enjoy your crazy unhinged neighbours!) If the market wasn't so shit right now they  wouldn't have any people to pack into this building like sardines before they've even solved the massive infestation issues that continue even after treatments. Maybe its the fucking building eh? Maybe you need to actually do some repairs to the building?",1,1,1,1,1,2023-04-12T15:52:48.310Z,false,,,false
BOONE HIGH COUNTRY RENTALS,US,BOONE,NORTH CAROLINA,28607,,2,2,3,3,1,2023-04-12T16:15:53.464Z,false,,,false
MICHAEL PENNER AND CHRIS NUDD,CA,NANAIMO,BRITISH COLUMBIA,V9T0G1,"Amazing landlords who are always quick to act on repairs. Zero issues with invading privacy, and zero drama. Highly recommend. Very fair and competent landlords who know their rights of being a landlord as well as the rights of their tenants.",5,5,5,5,5,2023-04-12T16:17:33.711Z,false,,,false
DETLEF EUPEN,CA,VICTORIA,BRITISH COLUMBIA,V8S1Y2”,"A neglectful landlord who fights his tenants over all repairs, be they small or large. Has to be threatened with RTB action to fulfill his contractural obligations. Also has a history of foisting landlord costs on his tenants. ",1,2,1,3,2,2023-04-12T16:38:06.487Z,false,,,false
MAINSTREET ESTATES,CA,SURREY,BRITISH COLUMBIA,V3R4C4,"repeat offender of the rta
illegal entry commonplace
favoritism on display of tenants/staff
stairwells that are used as toilets and not regularly cleaned
criminal activities every single day by staff and tenants
illegal fees for repairs
roaches / spot treatment/ rarely ever is the entire building/s treated resulting in roaches forever being on site
mail theft
unsafe property for small children and pets
Trash everywhere
neglectful staff
over priced parking and rent


 ",1,1,1,1,1,2023-04-12T16:39:55.063Z,false,,,false
YORKTOWN PROPERTY MANAGEMENT ,US,HUNTINGTON BEACH ,CALIFORNIA,92646,"I’m not allowed to go to HOA meetings , even tho I’ve been a renter and tenant for over 4 years . The only way of communicating is through a letter , never in person or any other shape or form . When I’m outside doing anything, hoa comes over to have all eyes on me . I’m also the only Hispanic in the neighborhood and the amount of disrespect I’ve received here is unethical . I stay to myself and i have a business , im busy 99% of the time that I simply ignore it. Aweful , the worst property management I’ve ever dealt with . ",1,1,4,3,1,2023-04-12T16:40:58.064Z,false,,,false
KAREN AND CHARLIE WILSON,CA,SALMO,BRITISH COLUMBIA,V0G1Z0,"this women physically attacked me , there is now a police file. these people also lied over end over to the tenancy Board and it was proven.",1,1,1,1,1,2023-04-12T16:41:53.580Z,false,,,false
MAPLE PLACE APARTMENTS,CA,SURREY,BRITISH COLUMBIA,V3R4C4," Family management on site has criminal records longer than my arm.

Manager on site uses verbal threats to intimidate tenants out of reporting repair requests.
",2,1,1,1,1,2023-04-12T16:43:30.647Z,false,,,false
AXON,CA,KINGSTON ,ONTARIO,K7L3Y5,,4,5,5,5,4,2023-04-12T16:44:51.884Z,false,,,false
DOROTA AND ANDY BODUCH,US,CHICAGO,ILLINOIS,60647,Lived at their property. They let a problem with rats go on too long and blamed us when we were in constant communication. Said our apartment was in bad shape when it wasn't updated and cleaned from previous tenants. They don't want to be bothered. Took a month to fix our stove. lied to prospective landlords after the fact. Never gave us a legal list of why they were keeping he deposit and instead sent an informal text.,2,1,3,4,2,2023-04-12T17:13:03.513Z,false,,,false
SPLITSPOT,US,BOSTON,MASSACHUSETTS,02135,,1,2,4,5,4,2023-04-12T17:24:17.739Z,false,,,false
AYER,US,COLCHESTER,VERMONT,05446,,2,3,4,1,2,2023-04-12T17:26:05.489Z,false,,,false
COZY PROPERTIES,US,CAMBRIDGE,MASSACHUSETTS,02141,"Raised our rent $300/person/month with only 90 days' notice (a $7200 annual increase for a 2BR apartment). We were already paying above market rate. Just greedy and disappointing, because otherwise it was an okay apartment.",5,5,1,4,4,2023-04-12T17:29:42.353Z,false,,,false
DARLA HOULT,CA,ST. CATHARINES,ONTARIO,L2M3P2,Currently sueing the landlord,1,1,1,1,1,2023-04-12T18:37:20.860Z,false,,,false
JOHNNY PENG ,CA,EDMONTON,ALBERTA,T5K1T3,"All in all, Johnny and his company Century 21 A.L.L Stars Realty LTD. have been amazing landlords. Any repairs I had questions about have been addressed and I feel as if they always give enough notice for me to manage my own affairs. The only complaint I have is that the apartment at 10159 115 street is not always well attended as far as some yard maintenance issues (snow clearing, dog poo). I feel like this should be more of a priority. ",4,4,5,5,5,2023-04-12T22:43:53.837Z,false,,,false
CLAUDIO FALSETTO (FALSETTO GROUP),CA,OTTAWA,ONTARIO,K1R0A8,,1,2,3,5,3,2023-04-12T18:03:32.347Z,false,,,false
THE RESERVE AT TOWN CENTER APARTMENTS (EQUITY RESIDENTIAL),US,MILL CREEK,WASHINGTON,98012,"Maintenance is prompt and location is nice. Walking distance to coffee shops and restaurants. Access to nature trail. Wear and tear on the units is not great and the floor boards creak extremely loudly. Sounds like a wooden ship and they refuse to do anything about it. ""Renovations"" were done cheaply and a lot of the work in the kitchen and bathrooms is shotty. Units are very drafty in the winter. You can feel cold air coming through cracks in the kitchen counter tops. There are problems with ants coming through cracks in the walls in the spring and summer. Pet policy is okay but they make you pay for DNA tests upon move-in to ensure tenants pick up after their pets but it doesn't work. There is always poop all over the complex and management doesn't care. Many residents complain of break ins to their vehicles on a regular basis. Unhoused persons are frequently seen wandering around at night or early in the morning. Package theft is common and the ""secured"" package room in the leasing office was broken into and all packages stolen recently. Annual rent increases are criminally high. Rent went up almost $1,000 within 2 years. Proceed with caution.",4,3,3,5,5,2023-04-12T18:04:36.998Z,false,,,false
KELSON GROUP,CA,KAMLOOPS,BRITISH COLUMBIA,V2C6C7,"Seemed like a good place to be when I first got there. Because I was dealing with the managers sister while the manager was off sick. She seemed reasonable, her brother not so much. Had my baby mama visiting either her dog for a few days, and instead of confronting me, he ambushed her when she was taking out the garbage and the dog for a walk and poop, and told her she can't have that dog here.
After we had found a place for the dog, I was letting her stay with me for a time, we were supposed to be getting back together, but thanks to him once again confronting my partner, instead of myself. Twice. ",4,2,1,2,2,2023-04-12T18:08:48.316Z,false,,,false
JENNY CHANG,CA,VANCOUVER,BRITISH COLUMBIA,V5M4X1,"Awful landlord. Limited the amount of laundry we could do to only two loads a week, didn't tell us before moving in that the laundry would not work in the winter due to pipes freezing. Accused us of using my when we were not suppose to even though we weren't. Blamed us for the high utility bills even though we had no control of the heating. 

Told us that we couldn't have too many friends over (we only had two other people over), had cameras everywhere and accused us of having an extra roommate because my roommate’s partner stayed one night, and told us that we aren't allowed to have overnight guests. 

Wouldn't turn on the heat in the winter until we complained, told us that she only turns on the heat when the temperature is below zero and only turned it on when we told her that was illegal.

Would only accept payment in cash only, and the lease was not even a real lease.

A very greedy landlord that only cares about money and does not want you to treat it like a proper home. Felt like I was walking on eggs shells living here.",1,1,1,1,1,2023-04-12T18:32:27.706Z,false,,,false
BRADEN EQUITIES,CA,EDMONTON,ALBERTA,T5K,,2,2,3,2,2,2023-04-12T18:36:53.398Z,false,,,false
YANN GUIGUEN,CA,VANCOUVER,BRITISH COLUMBIA,V5N2B7,Great landlord. Friendly but doesn't get into your business. Didn't raise our rent and I felt that the rent was reasonable for the area. Never made any unnecessary complaints and never did anything illegal. ,5,5,5,5,5,2023-04-12T18:36:55.988Z,false,,,false
LISA RECINE,CA,MONTREAL,QUEBEC,H2S2W7,"She doesn't take tenants concerns seriously. Be it mold, rats, roof leaks, window seals, broken locks, damaged floors or walls, she will tell you ""I'm too busy to deal with this right now"", ""I'm working on it"" or some other weak excuse. She may even go as far as laughing these issues off when you remind her after months of inaction: ""Oh, the roof leak hasn't been repaired yet? LOL"". She will lie to your face, then accuse you of lying: ""Oh we already sent someone to do the repairs, but you weren't home"" (we were home the whole day). The only real way to get her to do repairs  ever is to threaten legal action or take her to the TAL. She won't hire professionals to do the repairs, but will rather have someone in her family do a half-assed job that they may even not finish. And if the problems re-appear, she might still laugh it off: ""Didn't we repair this a year ago? LOL"". And when doing this sort of repairs, she will feel emboldened to increase the rent to cover the (non-existent) repair costs. The buildings owned by her fmaily, the Recine family, building are in a very bad shape. They will tell you that an apartment has been recently renovated (or ""semi-renovated""), with the goal to charge above market rent. But their apartments are mold-infested slums. I have never met a more neglectful landlord.",1,1,3,2,1,2023-04-12T18:41:23.655Z,false,,,false
WESTWARD 360,US,CHICAGO,ILLINOIS,60647,Westward 360 is one of the worst management companies I’ve ever had the displeasure of working with. They talk down to their tenants like they are children and are not efficient with repairs. They are neglectful!,1,2,4,4,1,2023-04-12T19:11:00.027Z,false,,,false
JAN KIM,US,HONOLULU,HAWAII,96814,,1,1,1,1,1,2023-04-12T22:58:05.103Z,false,,,false
NICK TAVERNESE ,CA,NIAGARA ON THE LAKE ,ONTARIO,L0S1J0,"I just had to review my landlord. He’s honestly wonderful. In 10 years of renting we’ve never had a landlord this kind, this communicative and this fair. Can’t speak highly enough if this guy. He fixes things immediately, and respects our privacy. ",5,5,5,5,5,2023-04-15T02:21:47.058Z,false,,,false
CYNTHIA CHEN,CA,VANCOUVER ,BRITISH COLUMBIA,V6G3G9,"A horrible person, be careful. She thinks she is above the law",2,2,1,1,1,2023-04-16T02:50:02.162Z,false,,,false
TESSO MANAGEMENT CORPORATION,CA,VANOUVER,BRITISH COLUMBIA,V7T2E1,This property company conducts business illegally. Do not become a tenant.,1,1,1,1,1,2023-04-16T03:15:37.816Z,false,,,false
CHESKEL MEISELS,US,NEW YORK,NEW YORK,11222,"Total fucking creep. Let a leak go in repaired in my bedroom for six months. Lied about repairs happening, let mold grow, was generally a rude asshole. Fuck that dude",1,2,3,2,1,2023-04-18T23:27:42.383Z,false,,,false
WINDSOR COMMUNITIES,US,DENVER,COLORADO,80210,"They manage two huge properties, totaling 7 or 800 units total. But one is ""lower scale"" so there's literally less staff on property most of the time. The prop. manager is like only in 3 hours on some days. He was very willing to help with issues once he was pinned down, but the rest of their staff is usually inexperienced due to the high turnover. The only thing they wouldn't do much about was noisy neighbors, prompting me to call security who was officed like 15 minutes away.",2,4,5,4,4,2023-04-12T19:22:51.953Z,false,,,false
REAL PROPERTY ASSOCIATES,US,SEATTLE,WASHINGTON,98116,,2,2,3,4,2,2023-04-12T23:15:19.627Z,false,,,false
INCITY,US,SEATTLE,WASHINGTON,98102,Rent increases with little repair and maintenance done to building. Also poor communication from management team. ,2,1,3,3,2,2023-04-12T19:50:53.078Z,false,,,false
AFFILIATED MANAGEMENT,US,BLOOMFIELD,NEW JERSEY,07003,Super lied to us during tour and claimed the building was quiet and peaceful. Didn’t tell us it was primarily rented by college students who were all away on spring break. Building became extremely dirty after super suddenly moved out and no replacement was hired. Many complains were sent to the management company and nothing was done to address the smell/disorder. Zero soundproofing whatsoever that made it impossible to sleep at night in the crowded building. It was the most miserable year in my life. Eventually they let me break my lease after 50+ noise and cleanliness complaints. They were so so so awful.,2,1,3,3,1,2023-04-12T19:59:36.389Z,false,,,false
ANDRÉ FAUCHETTE ,CA,LACHINE ,QUEBEC,H8S1T3,"I have been renting from Andre for 3+ years now and he is a decent person. thought he has increased our rent by the minimum per year without much justification, he’s also very available when needed. 
he likes to do everything himself which sucks because it takes way longer than needed but i guess keeps costs low idk. he raises rents when people move so i’ll opt for a lease transfer when i leave to avoid that but otherwise he’s decent for a mtl landlord ",3,4,5,5,4,2023-04-12T20:14:50.374Z,false,,,false
DEVON PROPERTIES,CA,PARKSVILLE,BRITISH COLUMBIA,V9P1N5,"Oh goodness where to even start with these jokers. I moved into a brand new building, about a month after it opened. 

TLDR: Devon properties is full of thieves planning on turning our community into a slum city.

I had called and arranged a date and time to move in, to have one of the elevators put on hold. They never did this, didn’t put any padding up (like they did for other tenants), and claimed they had no idea I was moving in, despite showing them the email chain that they had been replying to. 

The apartment was unfinished. Paint was not done and there was damage all over the apartment, dings on walls, damaged drywall, scuffed paint, damaged tub, damaged microwave, and the floor was peeling up (remember this is a BRAND NEW building). The building manager promised the work would be done and the issues corrected. I never saw any repairs done, even after a year of being there and multiple calls/emails/visits. Every time I brought it up I was promised the work would be done soon. Lies, lies, lies. The work was never done when I moved out, and the mdf trim that was in the washroom that was never sealed or painted was already starting to warp.

The heat pump stopped working correctly and they said it would be 5 months to get a repairman in to look at it (so I just fixed it myself). 

The washer and dryer stopped working and after weeks of waiting, they told me it would be a couple weeks for the tech to come take a look at it, they never did come. 

Each unit had a storage locker that was supposed to be on the same floor as the apartment (this was in the lease), it took me 5 months before I got the storage locker and mine was down in the basement. They left the keys in the storage lockers and just let people have a free for all until they got things relatively sorted out after another month of bs. 

There were no lightbulbs in the fixtures when I moved in, and this was marked on my inspection. They still tried to charge me for no lightbulbs when I moved out.

They sent a maintenance guy to the apartment with no notice to fix the kitchen sinks, there was no overflow drainage in them. The guy looked like a bum off the street and showed up while I was at work. He tried to force his way into the apartment while my girlfriend was there alone, and scared her with how aggressive he was being. He literally tried to shove his way into the apartment.

They went through 4 building managers during the year that I was there. They mistreated, overworked, and underpaid all of them. So they kept quitting.

The website they used for paying rent was constantly down. It didn’t work, it would crash all the time, and wouldn’t process payments reliably, and often took several days to do so. As a result I got hit with many late fees and ended up getting cheques to pay with.

When I moved out, they tried to claim that I didn’t pay my last months rent (I did). I showed them the carbon copy of the cheque, the cheque image, and a screenshot of the money coming out of my account. They refused to acknowledge any of this and still sent the balance to collections.",1,2,1,1,1,2023-04-12T20:17:52.868Z,false,,,false
DON KENNEDY REAL ESTATE,US,SEATTLE,WASHINGTON,98199,"My land lord has taken over 6 months to repair two dryers that over 50 units use, along with a single washer that is also out of commission. Recently there have been several hallway lights flickering which indicates an electrical issue that they will most likely never fix. The property manager is unresponsive and the maintenance person only responds through random notes put around the building. ",1,3,3,4,2,2023-04-12T20:18:32.009Z,false,,,false
BOARDWALK PROPERTIES ,CA,ST. ALBERT,ALBERTA,T8N3B9,"-jacks up rent prices upon lease renewal
-repairs bare minimum, and when done are done to very low standard
-mold not being addressed despite asking for it to be dealt with
-has entered apartment on the wrong dates stated as well as entered when meaning to enter another suite ",1,2,2,1,4,2023-04-12T20:19:30.092Z,false,,,false
GUIDE PROPERTY MANAGEMENT,US,REDMOND,WASHINGTON,98052,Unjustifiably withheld the entirety of my damage deposit when moving out. I broke my lease early and had to pay a $3000 fee so this was insult to injury. The previous tenant had lived in the unit for 4 years and I was there for 9 months. The property manager complained on my behalf to say it was unreasonable and he had inspected the unit. This company is bloodthirsty and will squeeze you for every dime. Photograph every inch of the unit if you sign anything with them and be ready to take them to court when you move out. ,3,3,1,3,1,2023-04-12T23:12:27.327Z,false,,,false
ANNE MARIE CIRCELLI JENNINGS,CA,KINGSTON,ONTARIO,K7M8G2,"Landlord is an older woman in her late 60's/early 70's. She screams at someone in her home, I'm not sure if it's her grandkids or her kids or a friend but she sound very angry. She's always acting like she's better than everyone else and in front of her friends or strangers she has this weird fake personality like she's trying to come off as perfect but as soon as people leave I hear her talking really bad things about them.  She is very disrespectful towards me, and acts like I should do everything she asks because I'm ""living in her house"". I can only imagine what she tells people when my back is turned.",2,2,1,1,1,2023-04-13T02:16:33.402Z,false,,,false
ELI STEGENGA,US,SEATTLE,WASHINGTON,98133,"Lost rent checks, eviction “notice” handwritten and pasted to the door with a bandaid. Never answered the phones. Sketchy, melted outlets.",2,2,1,4,2,2023-04-13T02:40:54.460Z,false,,,false
SHARON ,CA,VICTORIA,BRITISH COLUMBIA,V8T1R9,"This house is on the corner of Bay and Vancouver and rented out on multiple floors. The landlords are an older husband and wife. They are incredibly abusive. They do not give you accurate notice before entering your suite. They will bully you about any and everything, they will kick you out or raise the rent every year no matter what. They will threaten you, if you go to the RTB they will also do so and ‘make you spend even more money’. These people put me through hell in a already horrible time of my life and did not make me feel safe in my home. They truly were bullies from the start to end of my tenancy. ",1,3,1,1,1,2023-04-13T05:51:09.933Z,false,,,false
ANDREW HULMES ( HOMELIFE PROPERTY MANAGEMENT),CA,CHILLIWACK,BRITISH COLUMBIA,V2P4B8,"Very unprofessional landlord/ property manager. I was a single woman living alone and he made me very uncomfortable. I had a feeling someone was coming into my home without my permission so I installed cameras ( this was a house, not a shared suite, etc. no reason to enter!) and low and behold, Andrew was entering my home without my knowledge or permission. I also caught him on camera checking if the security cameras were real and trying to turn them off before he entered my home. Very disturbing and would not recommend homelife to anyone, especially this property manager! ",1,1,1,1,1,2023-04-15T23:53:32.958Z,false,,,false
NARVAND,CA,SURREY,BRITISH COLUMBIA,V4N0C3,"They tried to illegally evict us. Their kids were very disrespectful toward us and their parents. The landlord was not attentive, things would go unrepaired for months. They went into our suite unannounced a few times. ",1,1,1,1,1,2023-04-16T04:22:54.062Z,false,,,false
"FARHAD FARBOD, VILLAGE LOFTS",US,GREENWOOD VILLAGE,COLORADO,80111,Worst landlord ever. His wife screamed and cussed at me without provocation. Would not repair heat in a Colorado winter. I’m pretty sure they even called the cops on me without justification to help my decision along to move out. I should have sued.,1,2,3,3,1,2023-04-18T15:30:24.852Z,false,,,false
JOANN WAHL,US,LONG BEACH,CALIFORNIA,90802,"Charges extra for parking in a severely parking impacted neighborhood. Raised rent AND parking twice in just 4 years. When work needed to be done, it was often shoddy repairs. Neighbors in other units had nightmare situations with the ways their repairs were handled.",3,2,1,4,3,2023-04-18T23:29:19.128Z,false,,,false
ARDENT PROPERTIES ,CA,NANAIMO,BRITISH COLUMBIA,V9T6S9,"I was evicted so property could be sold which is illegal so they said I could let them know when I found a place but offered a 5000$ payment to vacate. This would be on top of the 2 months free rent that is standard. I got a place in the first and told them I’d be leaving at the end of the month but had already paid rent. Not only was I not reimbursed for the 2 months, which is the law, they never gave me the 5000$ either. They just stopped communicating with me. I am a single mom with 4 kids and this was a life changing betrayal. Rental board said they can’t help because I should not have moved. It was an illegal eviction in the first place. ",3,1,1,1,1,2023-04-12T20:23:41.107Z,false,,,false
SIMON ALLY,CA,VICTORIA,BRITISH COLUMBIA,V8N1P8,"Filthy illegal suites.
Slumlord ",1,1,1,3,3,2023-04-12T20:23:55.103Z,false,,,false
RPAPM REAL PROPERTY MANAGEMENT ,US,SEATTLE ,WASHINGTON,98109,Ridiculous and unnecessary rate increases without repairs or maintenance ,1,1,2,2,1,2023-04-12T20:26:04.884Z,false,,,false
BOLD L&H LOFTS,US,CHICAGO,ILLINOIS,60612,,5,2,2,3,1,2023-04-12T20:49:10.626Z,false,,,false
ROBERT FELLOWS,US,SEATTLE,WASHINGTON,98117,"Robert is one of the few property managers I've met who really cares. He gives updates on maintenance tickets, communicates inspections well in advance, and responds to tenant safety concerns/requests quickly. I've stayed in this building largely because he and his team do such a great job running it! ",5,5,5,5,5,2023-04-12T20:54:49.353Z,false,,,false
JESS PETTIS,CA,PRINCE GEORGE ,BRITISH COLUMBIA,V2N2G9,"This person is literally the most disrespectful person I have ever had to engage with. He and his parents bullied me into signing a lease that took half the house I was living in away and he moved into the basement and created an illegal suite, while charging me almost what I was paying before. His mother came in to my house and started spewing profanities in front of my young children and proceeded to threaten me. The son is the actual landlord and his parents should not have been involved. He did not provide any space for laundry, complained about my every little move and noise my kids made, and partied until all hours of the night despite knowing he was keeping my kids up before school. Just an all around not great guy! He is still renting both the upstairs and downstairs of the house that doesn't have proper sound buffering, ventilation or exits in case of fire. Definitely an illegal suite.",1,1,1,3,1,2023-04-12T21:06:10.912Z,false,,,false
ANDREW JAMES,CA,OSHAWA,ONTARIO,L1G3Z7,"I rented 63 McMillian Drive from Andrew James for 7 weeks at the beginning of 2023. The reason why it was only seven weeks and not the entire year long lease was the illegal eviction that Andrew James levied against me with an N5 and N7 forms, for entirely false reasons. Opting not to fight these, I left the unit and was reimbursed the final week's rent in February. However this left me homeless and I had to move back in with my parents, a very sub-optimal situation. I will note, I did NO damage to the rental unit, he was making up reasons to evict me because I wasn't going to leave willingly. 

Andrew James conducted an illegal unit inspection while conducting an outlet repair on a GFI outlet that had shocked me. Andrew James had an illegal renovation done on his property to install a second entry/exit to the second floor of the house; then had the call to call that access an 'emergency exit only' and insisted he didn't need to maintain it. Andrew James failed to keep the property at the legal temperature during winter multiple times, resulting in my having to call the City of Oshawa to correct him of his mistakes. Andrew James also let the foundation of this rental house deteriorate to the point of near collapse in one location, causing severe concerns about the safety of the entire 3 unit structure in question. 

Without a doubt, Andrew James is a slumlord. He works as a mobile mortgage specialist for TD Canada Trust, and at the time, was using bank resources to run his rentals business on the side (company phone + email + e-signing portal). 

My experience with Andrew James was a 0/10 and I recommend nobody ever rent from him, no matter how good a deal he may seem to be offering. Your complaints will be met with offers to make you homeless, and he will not perform repairs in a timely or proper manner. ",1,1,1,1,1,2023-04-12T21:12:10.245Z,false,,,false
ANDREW REBEYKA,CA,VANCOUVER,BRITISH COLUMBIA,V5T2V6,"Advertisement for rental included false information. Andrew did not do any upkeep to the building which lead to hazards such as leaks, mold and fire code infractions. Electrical was old, stairs were not up to code even though a renovation had recently taken place. Blinds were held up with scotch tape and he refused to replace them even though they were broken before we moved in. Several lights did not work, and closets were missing handles. He never repaired them even though we asked. He is a lazy and unethical landlord who only wants to collect rent but doesn't care that being a landlord comes with responsibility.",1,1,1,5,2,2023-04-12T21:56:05.399Z,false,,,false
GREG HUBER,US,SEATTLE,WASHINGTON,98105,"Greg has been a great landlord!  Maintenance on the building has been timely and thorough, he's always been respectful of his tenants, and above all a kind human.  Wish there were more like him!",5,5,5,5,5,2023-04-12T21:59:27.395Z,false,,,false
PATRICIA (PATSY) & WILLIAM (BILL) BACKER,CA,NORTH BAY,ONTARIO,P1B6G7,,1,1,1,1,1,2023-04-12T22:05:10.745Z,false,,,false
KAREN SWEENEY,US,SEATTLE,WASHINGTON,98199,,5,3,4,5,1,2023-04-12T22:28:24.050Z,false,,,false
COWBOY PROPERTIES,US,PROVO,UTAH,84601,"Unit was not clean when I moved in, I rented a carpet cleaner and the water came out disgusting. Other renters have complained about the same issue. Building managers are great at addressing repairs to the unit in a timely manner, but not to the building amenities. Parking structure has certain areas with leaks that have not been fixed in over a year.  Renters are supposed to have access to a rooftop, but that amenity was closed for months. It could still be, I just gave up and stopped checking. The trash chute smells very strongly sometimes and staff does their best to keep it clear but it seems like a structural issue. Despite a reduction in amenities, there was a 20% rent increase in 2022. There’s been a smaller increase in 2023, despite area’s property value decline. It’s an okay place to live, but it could be A LOT better, feels exploitative.",5,3,1,5,5,2023-04-12T22:38:06.915Z,false,,,false
BROWN BROS,CA,VICTORIA,BRITISH COLUMBIA,V8R4K3,"Frequent pest and heating problems, old building. Negative google reviews disappeared... They only seem to care about ""renovating"" apartments to rent them at higher prices.",2,2,2,3,3,2023-04-13T05:48:19.912Z,false,,,false
SHELTER CANADA,CA,FORT MCMURRAY,ALBERTA,T9K0A2,,4,4,4,3,3,2023-04-13T06:17:30.824Z,false,,,false
SAGE,CA,KINGSTON,ONTARIO,K7L1E5,"Generally responsive to complaints, though sometimes took months to fix issues. In fairness, said issues were generally not impeding use of the property. ",4,4,5,5,4,2023-04-13T06:26:02.424Z,false,,,false
SYMPHONY PROPERTY MANAGEMENT ,US,CINCINNATI ,OHIO,45213,"Leaks have taken forever to be repaired. They don’t care that I’ve found visible mold. One of their maintenance guys helped himself to one of my vapes - caught on camera. Same maintenance guy messed up glaze in tub twice, still waiting for someone else to fix. Can’t control heat, 70° outside and I’ve got every window open and every fan running because I refuse to use my electricity on a/c. Parking - one person tells me I can park in a certain spot, then I get yelled at for it later. Ugly concrete flooring that dips in a few places (I’m literally walking downhill to go into my kitchen or bathroom). Found air conditioner cord had a huge hole in it last year - it’s still “fixed” with electrical tape. Water can take up to 5 minutes to warm up. The property manager is awful to deal with, she’s like a power-hungry cop. I’m sure I’m forgetting something. ",1,1,3,2,1,2023-04-13T14:20:04.303Z,false,,,false
